# JULens Korean company-name reference
# Snapshot source: Naver Pay Securities US stock catalog (NASDAQ/NYSE/AMEX), 2026-08-15
# Format: ticker<TAB>display name
A	애질런트 테크놀로지스
AA	알코아
AACB	아티어스 II 애퀴지션
AACI	아마다 애퀴지션 III
AACO	애보니 애퀴지션 I
AACP	애퍼지 애퀴지션
AADX	어플라이드 에어로스페이스 앤 디펜스
AAL	아메리칸 에어라인스 그룹
AAME	아틀란틱 아메리칸
AAMI	아캐디언 애셋 매니지먼트
AAOI	어플라이드 옵토일렉트로닉스
AAON	에이에이온
AAP	어드밴스 오토 파츠
AAPL	애플
AARD	아르드바크 테라퓨틱스
AAUC	앨라이드 골드
ABAT	아메리칸 배터리 테크놀로지
ABBV	애브비
ABCB	아메리스 뱅코프
ABCL	앱셀레라 바이오로직스
ABEO	아베오나 테라퓨틱스
ABG	애즈버리 오토모티브 그룹
ABLV	에이블 뷰 글로벌
ABM	ABM 인더스트리즈
ABNB	에어비앤비
ABOS	애큐먼 파마슈티컬스
ABSI	앱사이
ABT	애보트 래보라토리
ABTC	아메리칸 비트코인
ABTS	에이비츠 그룹
ABUS	아버터스 바이오파마
ABVC	ABVC 바이오파마
ABX	애버커스 글로벌
ACA	아코사
ACAA	애버린 캐피탈 애퀴지션
ACAD	아카디아 파마슈티컬스
ACB	오로라 카나비스
ACCL	애코 그룹 홀딩스
ACCO	애코 브랜즈
ACCS	액세스 뉴스와이어
ACDC	프로프랙 홀딩
ACEL	악셀 엔터테인먼트
ACET	에이디셋바이오
ACFN	에이콘 에너지
ACGC	ACP 홀딩스 애퀴지션
ACGL	아치 캐피털 그룹
ACH	아센드라 헬스
ACHC	아카디아 헬스케어
ACHR	아처 에비에이션
ACHV	어치브 라이프 사이언스
ACI	앨버트슨 컴퍼니
ACIC	아메리칸 코스탈 인슈어런스
ACIU	AC 이뮨
ACIW	ACI 월드와이드
ACLS	액셀리스 테크놀로지스
ACM	애이콤
ACMR	ACM 리서치
ACN	액센추어
ACNB	ACNB
ACNT	어센트 인더스트리즈
ACOG	알파 코그니토
ACON	애클라리온
ACRS	애클래리스 테라퓨틱스
ACRV	애크리본 테라퓨틱스
ACT	인액트 홀딩스
ACTG	아카시아 리서치
ACTU	액추에이트 테라퓨틱스
ACU	애크미 유나이티드
ACVA	ACV 옥션스
ACXP	어큐어엑스 파마슈티컬스
AD	어레이 디지털 인프라스트럭처
ADAC	아메리칸 드라이브 애퀴지션
ADBE	어도비
ADCT	ADC 테라퓨틱스
ADEA	아데이아
ADGM	아다지오 메디컬 홀딩스
ADI	애널로그 디바이시스
ADIG	ADI 글로벌 디스트리뷰션
ADIL	애디얼 파머수티컬
ADM	아처 대니얼스 미들랜드
ADMA	ADMA 바이오로직스
ADNT	애디언트
ADP	오토매틱 데이터 프로세싱
ADPT	어댑티브 바이오테크놀러지
ADSE	애즈-테크 에너지
ADSK	오토데스크
ADT	ADT
ADTN	애드트랜 홀딩스
ADUR	아듀로 클린 테크놀로지스
ADUS	아듀스 홈케어
ADV	어드밴티지 솔루션스
ADVB	어드밴스드 바이오메드
AEAQ	액티베이트 에너지 애퀴지션
AEBI	에비 슈미트 홀딩
AEC	앤필드 에너지
AEE	애머런
AEHL	안텔로페 엔터프라이즈 홀딩스
AEHR	에흐르 테스트 시스템즈
AEI	알셋
AEIS	어드밴스드 에너지 인더스트리스
AEM	애그니코 이글 마인스
AEMD	애슬론 메디컬
AENT	얼라이언스 엔터테인먼트 홀딩
AEO	아메리칸 이글 아웃피터스
AEON	이온 바이오파마
AEP	아메리칸 일렉트릭 파워 컴퍼니
AER	에어캡 홀딩스
AERT	아에리스 테크놀로지
AES	AES
AESI	아틀라스 에너지 솔루션스
AESP	이온 애퀴지션 I
AEVA	아에바 테크놀로지스
AEXA	아메리칸 익셉셔널리즘 애퀴지션 A
AEYE	오디오아이
AFCG	어드반스드 플라워 캐피털
AFG	아메리칸 파이낸셜 그룹
AFJK	에이메이 헬스 테크놀로지
AFL	애플랙
AFRI	포라프릭 글로벌
AFRM	어펌 홀딩스
AFYA	아피야
AG	퍼스트 머제스틱 실버
AGBK	AGI
AGCC	에젠시아 커머셜 스피리츠
AGCO	애그코
AGEN	아제너스
AGI	알라모스 골드
AGIG	어번디아 글로벌 임팩트 그룹
AGIO	애지오스 파마슈티컬스
AGL	애질론 헬스
AGM	페더럴 애그리컬처럴 모기지 Class C
AGM.A	페더럴 애그리컬처럴 모기지 Class A
AGMH	AGM 그룹 홀딩스
AGNT	AGNT
AGO	어슈어드 개런티
AGPU	액스 컴퓨트
AGRO	아데코아그로
AGRZ	아그로즈
AGX	아간
AGYS	어질리시스
AHCO	어댑트헬스
AHMA	앰비션스 엔터프라이즈 매니지먼트
AI	C3 AI
AIAI	AIAI 홀딩스
AIB	AIB 데이터 센터스
AIBZ	비트제로 홀딩스
AIDX	20/20 바이오랩스
AIFA	올 인 퓨처테크 얼라이언스
AIFC	AI 파이낸셜
AIFF	파이어플라이 뉴로사이언스
AIFU	AIFU
AIG	아메리칸 인터내셔널 그룹
AIHS	센미아오 테크놀러지
AII	아메리칸 인테그리티 인슈어런스 그룹
AIIA	AI 인프라스트럭처 애퀴지션
AIIO	로보.ai
AIIR	에어 글로벌
AIM	AIM 이뮤노테크
AIMD	에이노스
AIN	앨버니 인터내셔널
AIOS	AIOS 테크
AIOT	파워플리트
AIP	아테리스
AIR	AAR
AIRE	리알파 테크
AIRG	에어게인
AIRI	에어 인더스트리스 그룹
AIRJ	에어줄 테크놀로지스
AIRO	AIRO 그룹 홀딩스
AIRS	에어스컬프 테크놀로지스
AIRT	에어 T
AISP	에어십 AI 홀딩스
AIT	어플라이드 인더스트리얼 테크놀로지
AIXC	AIx크립토 홀딩스
